,country,article_name,revision_id,article_quality_est,population
0,Western Sahara,,,,0.597
1,Cote d'Ivoire,,,,26.175
2,Mayotte,,,,0.284
3,Reunion,,,,0.861
4,"Congo, Dem. Rep.",,,,89.568
5,eSwatini,,,,1.104
6,El Salvador,,,,6.481
7,Honduras,,,,9.864
8,Curacao,,,,0.155
9,Puerto Rico,,,,3.189
10,St. Kitts-Nevis,,,,0.054
11,Saint Lucia,,,,0.182
12,St. Vincent and the Grenadines,,,,0.111
13,Georgia,,,,3.715
14,Oman,,,,4.713
15,Brunei,,,,0.469
16,Timor-Leste,,,,1.318
17,"China, Hong Kong SAR",,,,7.494
18,"China, Macao SAR",,,,0.686
19,Czechia,,,,10.716
20,North Macedonia,,,,2.08
21,French Polynesia,,,,0.28
22,Guam,,,,0.175
23,New Caledonia,,,,0.295
24,Palau,,,,0.018
25,Samoa,,,,0.2
26,Czech Republic,Julius Gregr,395521877.0,Stub,
27,Czech Republic,Edvard Gregr,395526568.0,Stub,
28,Czech Republic,Miroslav Poche,672862914.0,Stub,
29,Czech Republic,Vojtěch Mynář,673008587.0,Stub,
30,Czech Republic,Jan Malypetr,704424304.0,Stub,
31,Czech Republic,Emanuel Moravec,705080136.0,Start,
32,Czech Republic,Vladimír Hučín,707597623.0,Start,
33,Czech Republic,Pavla Topolánková,709676840.0,Start,
34,Czech Republic,Josef Barák,711675761.0,Stub,
35,Czech Republic,Antonín Švehla,712426548.0,Stub,
36,Czech Republic,Jakob Marzel Sternberger,713698544.0,Stub,
37,Czech Republic,Alois Anderka,714174726.0,Stub,
38,Czech Republic,Ivan Dejmal,715467197.0,Start,
39,Czech Republic,Franz Macoun,715640391.0,Stub,
40,Czech Republic,Karel Urbánek,716711851.0,Stub,
41,Czech Republic,Vladimír Klokočka,717429365.0,Start,
42,Czech Republic,Jaromír Jermář,720027362.0,Stub,
43,Czech Republic,Artur London,721736524.0,Start,
44,Czech Republic,František Sláma (politician),722937211.0,Stub,
45,Czech Republic,Jan Kubice,723151837.0,Stub,
46,Czech Republic,Kamil Jankovský,723207013.0,Stub,
47,Czech Republic,Václav Vacek,724691268.0,Stub,
48,Czech Republic,Čestmír Císař,725362978.0,C,
49,Czech Republic,Luca Rovinalti,726666131.0,Stub,
50,Czech Republic,Kamil Krofta,726762194.0,Start,
51,Czech Republic,Milan Štěch,728506208.0,Stub,
52,Czech Republic,Antonín Janoušek,729912438.0,Stub,
53,Czech Republic,Bedřich Geminder,730146355.0,Stub,
54,Czech Republic,Karel Domin,735174171.0,Start,
55,Czech Republic,Hubert Ripka,737562321.0,Start,
56,Czech Republic,Tomáš Eduard Šilinger,741588720.0,Stub,
57,Czech Republic,Petr Janyška,741798984.0,Stub,
58,Czech Republic,Jana Juřenčáková,743423675.0,Stub,
59,Czech Republic,Jaromír Nečas,744448745.0,Stub,
60,Czech Republic,Siegfried Taub,744612257.0,Start,
61,Czech Republic,Záviš Kalandra,746707985.0,Stub,
62,Czech Republic,Alois Rašín,749575931.0,Start,
63,Czech Republic,Bedřich Reicin,749945936.0,Start,
64,Czech Republic,Bernd Richter,751718674.0,Stub,
